id_cliente,churn,género,cuidadano_mayor,pareja,dependientes,meses_de_contrato,servicio_telefonico,multiples_lineas_telefonicas,servicio_internet,seguridad_online,respaldo_online,proteccion_del_dispositivo,soporte_tecnico,servicio_tv,servicio_de_peliculas,tipo_de_contrato,factura_en_linea,forma_de_pago,cargos_mensuales,cargos_totales,cuentas_diarias,cantidad_servicios
0002-ORFBO,0,Femenino,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,Un año,1,Cheque por correo,65.6,593.3,2.1550591327201047,5
0003-MKNFE,0,Masculino,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Mes a mes,0,Cheque por correo,59.9,542.4,1.9678055190538764,4
0004-TLHLJ,1,Masculino,0,0,0,4,1,No,Fibra óptica,No,No,Yes,No,No,No,Mes a mes,1,Cheque electrónico,73.9,280.85,2.4277266754270697,3
0011-IGKFF,1,Masculino,1,1,0,13,1,No,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Mes a mes,1,Cheque electrónico,98.0,1237.85,3.219448094612352,6
0013-EXCHZ,1,Femenino,1,1,0,3,1,No,Fibra óptica,No,No,No,Yes,Yes,No,Mes a mes,1,Cheque por correo,83.9,267.4,2.7562417871222076,4
0013-MHZWF,0,Femenino,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Mes a mes,1,Tarjeta de crédito,69.4,571.45,2.2798948751642576,5
0013-SMEOE,0,Femenino,1,1,0,71,1,No,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,1,Transferencia bancaria,109.7,7904.25,3.6038107752956634,8
0014-BMAQU,0,Masculino,0,1,0,63,1,Yes,Fibra óptica,Yes,No,No,Yes,No,No,Dos años,1,Tarjeta de crédito,84.65,5377.8,2.780880420499343,5
0015-UOCOJ,0,Femenino,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Mes a mes,1,Cheque electrónico,48.2,340.35,1.583442838370565,3
0016-QLJIS,0,Femenino,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,1,Cheque por correo,90.45,5957.9,2.971419185282523,9
0017-DINOC,0,Masculino,0,0,0,54,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Dos años,0,Tarjeta de crédito,45.2,2460.55,1.4848883048620236,4
0017-IUDMW,0,Femenino,0,1,1,72,1,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dos años,1,Tarjeta de crédito,116.8,8456.75,3.8370565045992113,9
0018-NYROU,0,Femenino,0,1,0,5,1,No,Fibra óptica,No,No,No,No,No,No,Mes a mes,1,Cheque electrónico,68.95,351.5,2.265111695137976,2
0019-EFAEP,0,Femenino,0,0,0,72,1,Yes,Fibra óptica,Yes,Yes,Yes,No,Yes,No,Dos años,1,Transferencia bancaria,101.3,7261.25,3.3278580814717476,7
